source,meta_program,gene_marker
Fibroblasts,CAF7,IGFBP2
Fibroblasts,CAF7,ADM
Fibroblasts,CAF7,APCDD1
Fibroblasts,CAF7,CPE
Fibroblasts,CAF7,SPRY1
Fibroblasts,CAF7,TNFRSF11B
Fibroblasts,CAF7,WNT5A
Fibroblasts,CAF7,CRABP2
Fibroblasts,CAF7,DIO2
Fibroblasts,CAF7,MFAP4
Fibroblasts,CAF7,PAPPA
Fibroblasts,CAF7,PLPP3
Fibroblasts,CAF7,PRSS12
Fibroblasts,CAF7,SLC5A3
Fibroblasts,CAF7,SPON1
Fibroblasts,CAF7,TWIST2
Fibroblasts,CAF7,APOD
Fibroblasts,CAF7,CCL11
Fibroblasts,CAF7,CP
Fibroblasts,CAF7,FMOD
Fibroblasts,CAF7,IGF2
Fibroblasts,CAF7,MRPS6
Fibroblasts,CAF7,PTGDS
Fibroblasts,CAF7,STC1
Fibroblasts,CAF7,TMEM176B
Fibroblasts,CAF7,TNFRSF21
Fibroblasts,CAF7,WLS
Fibroblasts,CAF7,AKR1B1
Fibroblasts,CAF7,BMP4
Fibroblasts,CAF7,CACNA2D3
Fibroblasts,CAF7,CH25H
Fibroblasts,CAF7,CPXM2
Fibroblasts,CAF7,CXCL14
Fibroblasts,CAF7,CXCL6
Fibroblasts,CAF7,DLL1
Fibroblasts,CAF7,F2R
Fibroblasts,CAF7,MGST1
Fibroblasts,CAF7,PDGFRA
Fibroblasts,CAF7,PLPP1
Fibroblasts,CAF7,RGCC
Fibroblasts,CAF7,SERPINE2
Fibroblasts,CAF7,WNT2
Fibroblasts,CAF7,MGP
Fibroblasts,CAF7,CCL2
Fibroblasts,CAF7,DPT
Fibroblasts,CAF7,GGT5
Fibroblasts,CAF7,GPM6B
Fibroblasts,CAF8,MEST
Fibroblasts,CAF8,ANO1
Fibroblasts,CAF8,CXCL14
Fibroblasts,CAF8,SLC6A6
Fibroblasts,CAF8,CLDN11
Fibroblasts,CAF8,CST1
Fibroblasts,CAF8,INMT
Fibroblasts,CAF8,CDKN2B
Fibroblasts,CAF8,CST2
Fibroblasts,CAF8,DPEP1
Fibroblasts,CAF8,IGFBP2
Fibroblasts,CAF8,PPP1R14A
Fibroblasts,CAF8,STRA6
Fibroblasts,CAF8,COMP
Fibroblasts,CAF8,CRIM1
Fibroblasts,CAF8,IGFBP3
Fibroblasts,CAF8,IGFBP5
Fibroblasts,CAF8,LAMP5
Fibroblasts,CAF8,NTM
Fibroblasts,CAF8,RAMP1
Fibroblasts,CAF8,SEMA3C
Fibroblasts,CAF8,CDC42EP3
Fibroblasts,CAF8,EGR2
Fibroblasts,CAF8,ELN
Fibroblasts,CAF8,F2R
Fibroblasts,CAF8,ITGBL1
Fibroblasts,CAF8,LTBP2
Fibroblasts,CAF8,MMP28
Fibroblasts,CAF8,NR2F1
Fibroblasts,CAF8,PKDCC
Fibroblasts,CAF8,RFTN1
Fibroblasts,CAF8,TNS1
Fibroblasts,CAF8,TSHZ2
Fibroblasts,CAF8,CADPS
Fibroblasts,CAF8,CD248
Fibroblasts,CAF8,COL10A1
Fibroblasts,CAF8,COL16A1
Fibroblasts,CAF8,CYP1B1
Fibroblasts,CAF8,ENG
Fibroblasts,CAF8,FRZB
Fibroblasts,CAF8,HAND2-AS1
Fibroblasts,CAF8,ITGB5
Fibroblasts,CAF8,LRRC32
Fibroblasts,CAF8,MATN3
Fibroblasts,CAF8,NFIX
Fibroblasts,CAF8,NT5DC2
Fibroblasts,CAF8,PRELP
Fibroblasts,CAF8,SERPINE1
Fibroblasts,CAF8,ZCCHC24
Fibroblasts,CAF8,C2ORF40
Fibroblasts,CAF9,DDX21
Fibroblasts,CAF9,INHBA
Fibroblasts,CAF9,THBS1
Fibroblasts,CAF9,C11ORF96
Fibroblasts,CAF9,CCL2
Fibroblasts,CAF9,CTSL
Fibroblasts,CAF9,EMP1
Fibroblasts,CAF9,FOSL1
Fibroblasts,CAF9,HMOX1
Fibroblasts,CAF9,IER3
Fibroblasts,CAF9,IL6
Fibroblasts,CAF9,LIF
Fibroblasts,CAF9,TM4SF1
Fibroblasts,CAF9,ANXA1
Fibroblasts,CAF9,GPRC5A
Fibroblasts,CAF9,MAP1B
Fibroblasts,CAF9,MIR4435-2HG
Fibroblasts,CAF9,PHLDA1
Fibroblasts,CAF9,SERPINE1
Fibroblasts,CAF9,SLC4A7
Fibroblasts,CAF9,SOD2
Fibroblasts,CAF9,TNFRSF12A
Fibroblasts,CAF9,AKR1C1
Fibroblasts,CAF9,APOD
Fibroblasts,CAF9,CD59
Fibroblasts,CAF9,CREM
Fibroblasts,CAF9,CXCL3
Fibroblasts,CAF9,CYTOR
Fibroblasts,CAF9,FTH1
Fibroblasts,CAF9,GEM
Fibroblasts,CAF9,HMGA1
Fibroblasts,CAF9,HSPA5
Fibroblasts,CAF9,IGFBP7
Fibroblasts,CAF9,IL1R1
Fibroblasts,CAF9,ITPRIP
Fibroblasts,CAF9,MT1A
Fibroblasts,CAF9,MYC
Fibroblasts,CAF9,NR3C1
Fibroblasts,CAF9,PTGS2
Fibroblasts,CAF9,SPRY2
Fibroblasts,CAF9,SPSB1
Fibroblasts,CAF9,THAP2
Fibroblasts,CAF9,THBS2
Fibroblasts,CAF9,TXN
Fibroblasts,CAF9,TXNRD1
Fibroblasts,CAF9,UGDH
Fibroblasts,CAF9,VASN
Fibroblasts,CAF9,VEGFA
Fibroblasts,CAF9,KCNE4
Fibroblasts,CAF9,PTX3
Fibroblasts,Cell-cycle,HMGB2
Fibroblasts,Cell-cycle,PTTG1
Fibroblasts,Cell-cycle,STMN1
Fibroblasts,Cell-cycle,BIRC5
Fibroblasts,Cell-cycle,CKS2
Fibroblasts,Cell-cycle,CDKN3
Fibroblasts,Cell-cycle,TK1
Fibroblasts,Cell-cycle,CENPW
Fibroblasts,Cell-cycle,NUSAP1
Fibroblasts,Cell-cycle,SMC4
Fibroblasts,Cell-cycle,CKS1B
Fibroblasts,Cell-cycle,TYMS
Fibroblasts,Cell-cycle,CENPF
Fibroblasts,Cell-cycle,HIST1H4C
Fibroblasts,Cell-cycle,TOP2A
Fibroblasts,Cell-cycle,H2AFZ
Fibroblasts,Cell-cycle,CCNB1
Fibroblasts,Cell-cycle,KIAA0101
Fibroblasts,Cell-cycle,MKI67
Fibroblasts,Cell-cycle,TUBA1B
Fibroblasts,Cell-cycle,UBE2C
Fibroblasts,Cell-cycle,DTYMK
Fibroblasts,Cell-cycle,MAD2L1
Fibroblasts,Cell-cycle,PCNA
Fibroblasts,Cell-cycle,CDC20
Fibroblasts,Cell-cycle,KPNA2
Fibroblasts,Cell-cycle,SMC2
Fibroblasts,Cell-cycle,UBE2T
Fibroblasts,Cell-cycle,ARL6IP1
Fibroblasts,Cell-cycle,CCNB2
Fibroblasts,Cell-cycle,GGH
Fibroblasts,Cell-cycle,TUBB
Fibroblasts,Cell-cycle,ZWINT
Fibroblasts,Cell-cycle,HMGB3
Fibroblasts,Cell-cycle,RRM2
Fibroblasts,Cell-cycle,UBE2S
Fibroblasts,Cell-cycle,ANLN
Fibroblasts,Cell-cycle,ANP32E
Fibroblasts,Cell-cycle,CDK1
Fibroblasts,Cell-cycle,HMGN2
Fibroblasts,Cell-cycle,KIF20B
Fibroblasts,Cell-cycle,TMEM106C
Fibroblasts,Cell-cycle,TUBA1C
Fibroblasts,Cell-cycle,ASPM
Fibroblasts,Cell-cycle,H2AFV
Fibroblasts,Cell-cycle,MCM7
Fibroblasts,Cell-cycle,CKAP2
Fibroblasts,Cell-cycle,RPA3
Fibroblasts,Cell-cycle,TPX2
Fibroblasts,Cell-cycle,PCLAF
Fibroblasts,Complement,CFD
Fibroblasts,Complement,C3
Fibroblasts,Complement,APOD
Fibroblasts,Complement,PTGDS
Fibroblasts,Complement,MGP
Fibroblasts,Complement,C7
Fibroblasts,Complement,CLU
Fibroblasts,Complement,CXCL14
Fibroblasts,Complement,MFAP4
Fibroblasts,Complement,SFRP2
Fibroblasts,Complement,CXCL12
Fibroblasts,Complement,ADH1B
Fibroblasts,Complement,EFEMP1
Fibroblasts,Complement,FBLN1
Fibroblasts,Complement,OGN
Fibroblasts,Complement,RARRES1
Fibroblasts,Complement,IGFBP6
Fibroblasts,Complement,SFRP4
Fibroblasts,Complement,CCDC80
Fibroblasts,Complement,PLA2G2A
Fibroblasts,Complement,SRPX
Fibroblasts,Complement,GPX3
Fibroblasts,Complement,IGF1
Fibroblasts,Complement,FGF7
Fibroblasts,Complement,GPC3
Fibroblasts,Complement,MGST1
Fibroblasts,Complement,ABCA8
Fibroblasts,Complement,GSN
Fibroblasts,Complement,SOD3
Fibroblasts,Complement,SEPP1
Fibroblasts,Complement,SERPINF1
Fibroblasts,Complement,APOE
Fibroblasts,Complement,ITM2A
Fibroblasts,Complement,PRELP
Fibroblasts,Complement,FBLN5
Fibroblasts,Complement,COL14A1
Fibroblasts,Complement,GPNMB
Fibroblasts,Complement,TNXB
Fibroblasts,Complement,DPT
Fibroblasts,Complement,PODN
Fibroblasts,Complement,WISP2
Fibroblasts,Complement,PLAC9
Fibroblasts,Complement,CFH
Fibroblasts,Complement,MT1X
Fibroblasts,Complement,SPARCL1
Fibroblasts,Complement,FMO2
Fibroblasts,Complement,TXNIP
Fibroblasts,Complement,PI16
Fibroblasts,Complement,MFAP5
Fibroblasts,Complement,SFRP1
Fibroblasts,Hypoxia,ADM
Fibroblasts,Hypoxia,MT2A
Fibroblasts,Hypoxia,DDIT4
Fibroblasts,Hypoxia,IER3
Fibroblasts,Hypoxia,SLC16A3
Fibroblasts,Hypoxia,SOD2
Fibroblasts,Hypoxia,CA12
Fibroblasts,Hypoxia,MMP1
Fibroblasts,Hypoxia,CXCL1
Fibroblasts,Hypoxia,MMP3
Fibroblasts,Hypoxia,CXCL8
Fibroblasts,Hypoxia,SERPINE1
Fibroblasts,Hypoxia,BNIP3
Fibroblasts,Hypoxia,ANGPTL4
Fibroblasts,Hypoxia,CXCL3
Fibroblasts,Hypoxia,PLIN2
Fibroblasts,Hypoxia,IL6
Fibroblasts,Hypoxia,NAMPT
Fibroblasts,Hypoxia,TMEM158
Fibroblasts,Hypoxia,VEGFA
Fibroblasts,Hypoxia,MME
Fibroblasts,Hypoxia,HILPDA
Fibroblasts,Hypoxia,IL24
Fibroblasts,Hypoxia,AKR1B1
Fibroblasts,Hypoxia,NDRG1
Fibroblasts,Hypoxia,CXCL6
Fibroblasts,Hypoxia,IL11
Fibroblasts,Hypoxia,STC1
Fibroblasts,Hypoxia,CD82
Fibroblasts,Hypoxia,PTGES
Fibroblasts,Hypoxia,TNFAIP6
Fibroblasts,Hypoxia,G0S2
Fibroblasts,Hypoxia,INHBA
Fibroblasts,Hypoxia,COL7A1
Fibroblasts,Hypoxia,CXCL2
Fibroblasts,Hypoxia,CHI3L1
Fibroblasts,Hypoxia,CXCL5
Fibroblasts,Hypoxia,PLAU
Fibroblasts,Hypoxia,SCG5
Fibroblasts,Hypoxia,UPP1
Fibroblasts,Hypoxia,C15ORF48
Fibroblasts,Hypoxia,EGLN3
Fibroblasts,Hypoxia,IGFBP3
Fibroblasts,Hypoxia,MT1E
Fibroblasts,Hypoxia,STEAP1
Fibroblasts,Hypoxia,WNT5A
Fibroblasts,Hypoxia,PGK1
Fibroblasts,Hypoxia,CCL2
Fibroblasts,Hypoxia,FAM162A
Fibroblasts,Hypoxia,ENO1
Fibroblasts,Interferon,ISG15
Fibroblasts,Interferon,IFIT3
Fibroblasts,Interferon,LAP3
Fibroblasts,Interferon,IFI44L
Fibroblasts,Interferon,IFI6
Fibroblasts,Interferon,MX1
Fibroblasts,Interferon,WARS
Fibroblasts,Interferon,TNFSF10
Fibroblasts,Interferon,EPSTI1
Fibroblasts,Interferon,GBP1
Fibroblasts,Interferon,IFI35
Fibroblasts,Interferon,IFIT1
Fibroblasts,Interferon,PSMB9
Fibroblasts,Interferon,BST2
Fibroblasts,Interferon,CXCL10
Fibroblasts,Interferon,UBE2L6
Fibroblasts,Interferon,OAS1
Fibroblasts,Interferon,PARP14
Fibroblasts,Interferon,ISG20
Fibroblasts,Interferon,STAT1
Fibroblasts,Interferon,TNFSF13B
Fibroblasts,Interferon,GBP2
Fibroblasts,Interferon,CCL2
Fibroblasts,Interferon,IFITM1
Fibroblasts,Interferon,PLSCR1
Fibroblasts,Interferon,RSAD2
Fibroblasts,Interferon,CMPK2
Fibroblasts,Interferon,HAPLN3
Fibroblasts,Interferon,RARRES3
Fibroblasts,Interferon,TAP1
Fibroblasts,Interferon,CD74
Fibroblasts,Interferon,CTSS
Fibroblasts,Interferon,GBP4
Fibroblasts,Interferon,IFI27
Fibroblasts,Interferon,MMP11
Fibroblasts,Interferon,APOL1
Fibroblasts,Interferon,CXCL11
Fibroblasts,Interferon,CXCL9
Fibroblasts,Interferon,IFIT2
Fibroblasts,Interferon,IRF7
Fibroblasts,Interferon,MT2A
Fibroblasts,Interferon,MX2
Fibroblasts,Interferon,SOD2
Fibroblasts,Interferon,VCAM1
Fibroblasts,Interferon,XAF1
Fibroblasts,Interferon,CCL11
Fibroblasts,Interferon,OAS3
Fibroblasts,Interferon,OASL
Fibroblasts,Interferon,IDO1
Fibroblasts,Interferon,DDX58
Fibroblasts,Lipid-metabolism,THY1
Fibroblasts,Lipid-metabolism,CD36
Fibroblasts,Lipid-metabolism,FABP5
Fibroblasts,Lipid-metabolism,MARCKSL1
Fibroblasts,Lipid-metabolism,CYGB
Fibroblasts,Lipid-metabolism,ARHGDIB
Fibroblasts,Lipid-metabolism,COX4I2
Fibroblasts,Lipid-metabolism,CYBA
Fibroblasts,Lipid-metabolism,GMFG
Fibroblasts,Lipid-metabolism,44815
Fibroblasts,Lipid-metabolism,CCND1
Fibroblasts,Lipid-metabolism,COL4A1
Fibroblasts,Lipid-metabolism,PLXDC1
Fibroblasts,Lipid-metabolism,RASD1
Fibroblasts,Lipid-metabolism,STEAP4
Fibroblasts,Lipid-metabolism,APOLD1
Fibroblasts,Lipid-metabolism,C20ORF27
Fibroblasts,Lipid-metabolism,COL6A3
Fibroblasts,Lipid-metabolism,FABP4
Fibroblasts,Lipid-metabolism,FAM162B
Fibroblasts,Lipid-metabolism,FRMD3
Fibroblasts,Lipid-metabolism,HIGD1B
Fibroblasts,Lipid-metabolism,IFI27
Fibroblasts,Lipid-metabolism,IFI6
Fibroblasts,Lipid-metabolism,ISG15
Fibroblasts,Lipid-metabolism,LPL
Fibroblasts,Lipid-metabolism,MYO1B
Fibroblasts,Lipid-metabolism,44808
Fibroblasts,Lipid-metabolism,AGTR1
Fibroblasts,Lipid-metabolism,ASAH1
Fibroblasts,Lipid-metabolism,COL4A2
Fibroblasts,Lipid-metabolism,EDNRB
Fibroblasts,Lipid-metabolism,FAM213A
Fibroblasts,Lipid-metabolism,FXYD6
Fibroblasts,Lipid-metabolism,ITGA1
Fibroblasts,Lipid-metabolism,KCNJ8
Fibroblasts,Lipid-metabolism,OAZ2
Fibroblasts,Lipid-metabolism,PLAT
Fibroblasts,Lipid-metabolism,TFPI
Fibroblasts,Lipid-metabolism,GUCY1A2
Fibroblasts,Lipid-metabolism,CCDC102B
Fibroblasts,Lipid-metabolism,COL3A1
Fibroblasts,Lipid-metabolism,IMPA2
Fibroblasts,Lipid-metabolism,NID1
Fibroblasts,Lipid-metabolism,PAG1
Fibroblasts,Lipid-metabolism,CCND2
Fibroblasts,Lipid-metabolism,SLC12A2
Fibroblasts,Lipid-metabolism,KCNE4
Fibroblasts,Lipid-metabolism,ITM2C
Fibroblasts,Lipid-metabolism,TXNIP
Fibroblasts,MHC-II,CRYAB
Fibroblasts,MHC-II,HLA-DRA
Fibroblasts,MHC-II,HLA-DRB1
Fibroblasts,MHC-II,CLU
Fibroblasts,MHC-II,HLA-DPA1
Fibroblasts,MHC-II,ALDH1A1
Fibroblasts,MHC-II,AP1S2
Fibroblasts,MHC-II,CD74
Fibroblasts,MHC-II,HLA-DPB1
Fibroblasts,MHC-II,PMEPA1
Fibroblasts,MHC-II,RCAN1
Fibroblasts,MHC-II,FABP5
Fibroblasts,MHC-II,GPM6B
Fibroblasts,MHC-II,VWA1
Fibroblasts,MHC-II,CTNNAL1
Fibroblasts,MHC-II,FXYD1
Fibroblasts,MHC-II,HBEGF
Fibroblasts,MHC-II,HLA-DMA
Fibroblasts,MHC-II,SEMA3B
Fibroblasts,MHC-II,SPP1
Fibroblasts,MHC-II,CD9
Fibroblasts,MHC-II,FSTL3
Fibroblasts,MHC-II,GPC1
Fibroblasts,MHC-II,HLA-DRB5
Fibroblasts,MHC-II,IGFBP5
Fibroblasts,MHC-II,ITGB8
Fibroblasts,MHC-II,LGI4
Fibroblasts,MHC-II,MAP1B
Fibroblasts,MHC-II,NES
Fibroblasts,MHC-II,PAPPA
Fibroblasts,MHC-II,PDLIM4
Fibroblasts,MHC-II,S100B
Fibroblasts,MHC-II,SLC22A17
Fibroblasts,MHC-II,TMEM176B
Fibroblasts,MHC-II,TGFBI
Fibroblasts,MHC-II,PTN
Fibroblasts,MHC-II,PLP1
Fibroblasts,MHC-II,STMN1
Fibroblasts,MHC-II,OCIAD2
Fibroblasts,MHC-II,TSPAN15
Fibroblasts,MHC-II,RDX
Fibroblasts,MHC-II,MARCKSL1
Fibroblasts,MHC-II,ARHGAP15
Fibroblasts,MHC-II,FAM107B
Fibroblasts,MHC-II,PDGFA
Fibroblasts,MHC-II,COL8A1
Fibroblasts,MHC-II,RASSF4
Fibroblasts,MHC-II,MEF2C
Fibroblasts,MHC-II,ENDOD1
Fibroblasts,MHC-II,SORBS2
Fibroblasts,MHC-II/Cytokine,CCL19
Fibroblasts,MHC-II/Cytokine,PTGDS
Fibroblasts,MHC-II/Cytokine,CD74
Fibroblasts,MHC-II/Cytokine,TNFSF13B
Fibroblasts,MHC-II/Cytokine,CTSH
Fibroblasts,MHC-II/Cytokine,TMEM176A
Fibroblasts,MHC-II/Cytokine,RBP5
Fibroblasts,MHC-II/Cytokine,TMEM176B
Fibroblasts,MHC-II/Cytokine,C3
Fibroblasts,MHC-II/Cytokine,CCL2
Fibroblasts,MHC-II/Cytokine,CXCL14
Fibroblasts,MHC-II/Cytokine,CYP1B1
Fibroblasts,MHC-II/Cytokine,CCL21
Fibroblasts,MHC-II/Cytokine,CXCL12
Fibroblasts,MHC-II/Cytokine,LAP3
Fibroblasts,MHC-II/Cytokine,ADRA2A
Fibroblasts,MHC-II/Cytokine,FRZB
Fibroblasts,MHC-II/Cytokine,SOD2
Fibroblasts,MHC-II/Cytokine,VCAM1
Fibroblasts,MHC-II/Cytokine,BIRC3
Fibroblasts,MHC-II/Cytokine,CLU
Fibroblasts,MHC-II/Cytokine,CTSS
Fibroblasts,MHC-II/Cytokine,CXCL13
Fibroblasts,MHC-II/Cytokine,HLA-DRA
Fibroblasts,MHC-II/Cytokine,HLA-DRB1
Fibroblasts,MHC-II/Cytokine,ABI3BP
Fibroblasts,MHC-II/Cytokine,APOE
Fibroblasts,MHC-II/Cytokine,C7
Fibroblasts,MHC-II/Cytokine,IER3
Fibroblasts,MHC-II/Cytokine,RARRES1
Fibroblasts,MHC-II/Cytokine,RGS16
Fibroblasts,MHC-II/Cytokine,ACOT7
Fibroblasts,MHC-II/Cytokine,C10ORF10
Fibroblasts,MHC-II/Cytokine,CHI3L1
Fibroblasts,MHC-II/Cytokine,CLSTN3
Fibroblasts,MHC-II/Cytokine,FMO1
Fibroblasts,MHC-II/Cytokine,LXN
Fibroblasts,MHC-II/Cytokine,CD24
Fibroblasts,MHC-II/Cytokine,CHI3L2
Fibroblasts,MHC-II/Cytokine,CXCL1
Fibroblasts,MHC-II/Cytokine,CYR61
Fibroblasts,MHC-II/Cytokine,DNAJB1
Fibroblasts,MHC-II/Cytokine,HSD11B1
Fibroblasts,MHC-II/Cytokine,RAMP3
Fibroblasts,MHC-II/Cytokine,SERPINB9
Fibroblasts,MHC-II/Cytokine,SOCS3
Fibroblasts,MHC-II/Cytokine,TGM2
Fibroblasts,MHC-II/Cytokine,TIMP1
Fibroblasts,MHC-II/Cytokine,UBD
Fibroblasts,MHC-II/Cytokine,RRAD
Fibroblasts,Metal-response,PRG4
Fibroblasts,Metal-response,PLA2G2A
Fibroblasts,Metal-response,CHI3L1
Fibroblasts,Metal-response,HP
Fibroblasts,Metal-response,ID3
Fibroblasts,Metal-response,SLC39A8
Fibroblasts,Metal-response,SLPI
Fibroblasts,Metal-response,CFB
Fibroblasts,Metal-response,CXCL1
Fibroblasts,Metal-response,MT1G
Fibroblasts,Metal-response,PROCR
Fibroblasts,Metal-response,SAA1
Fibroblasts,Metal-response,CXCL6
Fibroblasts,Metal-response,PDZK1IP1
Fibroblasts,Metal-response,WFDC2
Fibroblasts,Metal-response,CALB2
Fibroblasts,Metal-response,CEMIP
Fibroblasts,Metal-response,IL13RA2
Fibroblasts,Metal-response,KRT19
Fibroblasts,Metal-response,MT1X
Fibroblasts,Metal-response,ADAMTS9
Fibroblasts,Metal-response,ID1
Fibroblasts,Metal-response,MGST1
Fibroblasts,Metal-response,SEPP1
Fibroblasts,Metal-response,CLDN1
Fibroblasts,Metal-response,CYSTM1
Fibroblasts,Metal-response,EGFL6
Fibroblasts,Metal-response,EZR
Fibroblasts,Metal-response,KRT8
Fibroblasts,Metal-response,MT1F
Fibroblasts,Metal-response,MT2A
Fibroblasts,Metal-response,PLAT
Fibroblasts,Metal-response,RARRES1
Fibroblasts,Metal-response,SAA2
Fibroblasts,Metal-response,SLC40A1
Fibroblasts,Metal-response,TM4SF1
Fibroblasts,Metal-response,TMEM176B
Fibroblasts,Metal-response,UPK3B
Fibroblasts,Metal-response,KRT18
Fibroblasts,Metal-response,UPK1B
Fibroblasts,Metal-response,SLC34A2
Fibroblasts,Metal-response,MT1E
Fibroblasts,Metal-response,SERPINB4
Fibroblasts,Metal-response,CD74
Fibroblasts,Metal-response,YPEL3
Fibroblasts,Metal-response,ADIRF
Fibroblasts,Metal-response,DAB2
Fibroblasts,Metal-response,GBP2
Fibroblasts,Metal-response,SEL1L3
Fibroblasts,Metal-response,MT1H
Fibroblasts,Myofibroblasts,TAGLN
Fibroblasts,Myofibroblasts,CSRP1
Fibroblasts,Myofibroblasts,ACTA2
Fibroblasts,Myofibroblasts,KDELR3
Fibroblasts,Myofibroblasts,NME1
Fibroblasts,Myofibroblasts,PYCR1
Fibroblasts,Myofibroblasts,SRM
Fibroblasts,Myofibroblasts,TNFRSF12A
Fibroblasts,Myofibroblasts,TUBA1B
Fibroblasts,Myofibroblasts,C12ORF75
Fibroblasts,Myofibroblasts,TUBA1C
Fibroblasts,Myofibroblasts,TUBB6
Fibroblasts,Myofibroblasts,COTL1
Fibroblasts,Myofibroblasts,PDLIM7
Fibroblasts,Myofibroblasts,POSTN
Fibroblasts,Myofibroblasts,RPL22L1
Fibroblasts,Myofibroblasts,LRRC59
Fibroblasts,Myofibroblasts,TPM1
Fibroblasts,Myofibroblasts,CNN1
Fibroblasts,Myofibroblasts,CRABP2
Fibroblasts,Myofibroblasts,IDH2
Fibroblasts,Myofibroblasts,TPM2
Fibroblasts,Myofibroblasts,CREB3L1
Fibroblasts,Myofibroblasts,EIF4EBP1
Fibroblasts,Myofibroblasts,MYL9
Fibroblasts,Myofibroblasts,NEXN
Fibroblasts,Myofibroblasts,TGFBI
Fibroblasts,Myofibroblasts,ACTG2
Fibroblasts,Myofibroblasts,CKAP4
Fibroblasts,Myofibroblasts,GJB2
Fibroblasts,Myofibroblasts,LOXL2
Fibroblasts,Myofibroblasts,PPP1R14B
Fibroblasts,Myofibroblasts,STMN1
Fibroblasts,Myofibroblasts,TUBB2A
Fibroblasts,Myofibroblasts,C5ORF46
Fibroblasts,Myofibroblasts,FSCN1
Fibroblasts,Myofibroblasts,GLIPR1
Fibroblasts,Myofibroblasts,LOX
Fibroblasts,Myofibroblasts,SEC13
Fibroblasts,Myofibroblasts,SUGCT
Fibroblasts,Myofibroblasts,TUBA1A
Fibroblasts,Myofibroblasts,MFAP5
Fibroblasts,Myofibroblasts,GLIPR2
Fibroblasts,Myofibroblasts,TNC
Fibroblasts,Myofibroblasts,SMYD3
Fibroblasts,Myofibroblasts,ALDH1B1
Fibroblasts,Myofibroblasts,ZYX
Fibroblasts,Myofibroblasts,TIMP3
Fibroblasts,Myofibroblasts,COL11A1
Fibroblasts,Myofibroblasts,YIF1A
Fibroblasts,PI16+,PI16
Fibroblasts,PI16+,SEMA3C
Fibroblasts,PI16+,CD55
Fibroblasts,PI16+,IGFBP5
Fibroblasts,PI16+,FBN1
Fibroblasts,PI16+,CD248
Fibroblasts,PI16+,ADAMTS5
Fibroblasts,PI16+,CREB5
Fibroblasts,PI16+,DBN1
Fibroblasts,PI16+,ACKR3
Fibroblasts,PI16+,HTRA3
Fibroblasts,PI16+,PCOLCE2
Fibroblasts,PI16+,PROCR
Fibroblasts,PI16+,CLEC3B
Fibroblasts,PI16+,IGFBP6
Fibroblasts,PI16+,SCARA5
Fibroblasts,PI16+,TPPP3
Fibroblasts,PI16+,MFAP5
Fibroblasts,PI16+,PPP1R14B
Fibroblasts,PI16+,PRSS23
Fibroblasts,PI16+,UAP1
Fibroblasts,PI16+,CADM3
Fibroblasts,PI16+,EFHD1
Fibroblasts,PI16+,TNXB
Fibroblasts,PI16+,ADAMTSL4
Fibroblasts,PI16+,ALDH1A3
Fibroblasts,PI16+,CRIP1
Fibroblasts,PI16+,GAS7
Fibroblasts,PI16+,MARCKS
Fibroblasts,PI16+,METRNL
Fibroblasts,PI16+,THBD
Fibroblasts,PI16+,AIF1L
Fibroblasts,PI16+,ANXA3
Fibroblasts,PI16+,BASP1
Fibroblasts,PI16+,CMAH
Fibroblasts,PI16+,COL14A1
Fibroblasts,PI16+,EMILIN2
Fibroblasts,PI16+,EMP3
Fibroblasts,PI16+,FLNB
Fibroblasts,PI16+,NOV
Fibroblasts,PI16+,PCSK6
Fibroblasts,PI16+,PLA1A
Fibroblasts,PI16+,PTGS1
Fibroblasts,PI16+,TMEM100
Fibroblasts,PI16+,ZFP385A
Fibroblasts,PI16+,SBSN
Fibroblasts,PI16+,FNDC1
Fibroblasts,PI16+,LIMCH1
Fibroblasts,PI16+,LURAP1L
Fibroblasts,PI16+,1700019D03RIK
Fibroblasts,Pericyte-like,NDUFA4L2
Fibroblasts,Pericyte-like,RGS5
Fibroblasts,Pericyte-like,ACTA2
Fibroblasts,Pericyte-like,ADIRF
Fibroblasts,Pericyte-like,MCAM
Fibroblasts,Pericyte-like,NOTCH3
Fibroblasts,Pericyte-like,PPP1R14A
Fibroblasts,Pericyte-like,CRIP1
Fibroblasts,Pericyte-like,SPARCL1
Fibroblasts,Pericyte-like,COL4A1
Fibroblasts,Pericyte-like,TPPP3
Fibroblasts,Pericyte-like,PTP4A3
Fibroblasts,Pericyte-like,MYH11
Fibroblasts,Pericyte-like,TAGLN
Fibroblasts,Pericyte-like,COL18A1
Fibroblasts,Pericyte-like,CSRP2
Fibroblasts,Pericyte-like,TINAGL1
Fibroblasts,Pericyte-like,COL4A2
Fibroblasts,Pericyte-like,MEF2C
Fibroblasts,Pericyte-like,MYLK
Fibroblasts,Pericyte-like,COX4I2
Fibroblasts,Pericyte-like,CRIP2
Fibroblasts,Pericyte-like,A2M
Fibroblasts,Pericyte-like,ARHGDIB
Fibroblasts,Pericyte-like,HIGD1B
Fibroblasts,Pericyte-like,CAV1
Fibroblasts,Pericyte-like,GJA4
Fibroblasts,Pericyte-like,PGF
Fibroblasts,Pericyte-like,MYL9
Fibroblasts,Pericyte-like,EGFL6
Fibroblasts,Pericyte-like,SOD3
Fibroblasts,Pericyte-like,TPM2
Fibroblasts,Pericyte-like,MAP1B
Fibroblasts,Pericyte-like,ANGPT2
Fibroblasts,Pericyte-like,CSRP1
